	gene_ids
3110035E14Rik	ENSMUSG00000067879
Resp18	ENSMUSG00000033061
Scg2	ENSMUSG00000050711
Ptma	ENSMUSG00000026238
Dbi	ENSMUSG00000026385
Lypd1	ENSMUSG00000026344
Csrp1	ENSMUSG00000026421
Rgs4	ENSMUSG00000038530
Pcp4l1	ENSMUSG00000038370
Nsmf	ENSMUSG00000006476
Ptgds	ENSMUSG00000015090
Olfm1	ENSMUSG00000026833
1110008P14Rik	ENSMUSG00000039195
Gsn	ENSMUSG00000026879
Ermn	ENSMUSG00000026830
Gatm	ENSMUSG00000027199
Mal	ENSMUSG00000027375
Plcb4	ENSMUSG00000039943
Lamp5	ENSMUSG00000027270
Snap25	ENSMUSG00000027273
Nrsn2	ENSMUSG00000059361
Nnat	ENSMUSG00000067786
Bcas1	ENSMUSG00000013523
Zcchc12	ENSMUSG00000036699
Plp1	ENSMUSG00000031425
Tmsb4x	ENSMUSG00000049775
Car2	ENSMUSG00000027562
Cldn11	ENSMUSG00000037625
Shox2	ENSMUSG00000027833
Atp1a1	ENSMUSG00000033161
Tspan2	ENSMUSG00000027858
Ntng1	ENSMUSG00000059857
Synpo2	ENSMUSG00000050315
Ugt8a	ENSMUSG00000032854
Ppp3ca	ENSMUSG00000028161
Penk	ENSMUSG00000045573
Pdp1	ENSMUSG00000049225
Ptpn3	ENSMUSG00000038764
Hpca	ENSMUSG00000028785
Camk2n1	ENSMUSG00000046447
Tmem88b	ENSMUSG00000073680
Qdpr	ENSMUSG00000015806
Cplx1	ENSMUSG00000033615
Cabp1	ENSMUSG00000029544
Dynll1	ENSMUSG00000009013
Cit	ENSMUSG00000029516
Atp2a2	ENSMUSG00000029467
Tmem130	ENSMUSG00000043388
Ccdc136	ENSMUSG00000029769
Nap1l5	ENSMUSG00000055430
Snca	ENSMUSG00000025889
Slc6a11	ENSMUSG00000030307
Syn2	ENSMUSG00000009394
Peg3	ENSMUSG00000002265
Selenow	ENSMUSG00000041571
Ttc9b	ENSMUSG00000007944
Ppp1r14a	ENSMUSG00000037166
Mag	ENSMUSG00000036634
Scn1b	ENSMUSG00000019194
Slc17a6	ENSMUSG00000030500
Ndn	ENSMUSG00000033585
Plekhb1	ENSMUSG00000030701
Nrip3	ENSMUSG00000034825
Hs3st2	ENSMUSG00000046321
Plekhg1	ENSMUSG00000040624
Grm1	ENSMUSG00000019828
Ahi1	ENSMUSG00000019986
Zwint	ENSMUSG00000019923
Adarb1	ENSMUSG00000020262
Pmch	ENSMUSG00000035383
Atp2b1	ENSMUSG00000019943
Pllp	ENSMUSG00000031775
Calb2	ENSMUSG00000003657
Fa2h	ENSMUSG00000033579
Agt	ENSMUSG00000031980
Prkcd	ENSMUSG00000021948
Ndrg2	ENSMUSG00000004558
Adam2	ENSMUSG00000022039
Pdlim2	ENSMUSG00000022090
Tpt1	ENSMUSG00000060126
Amotl1	ENSMUSG00000013076
Nrgn	ENSMUSG00000053310
Cryab	ENSMUSG00000032060
Rora	ENSMUSG00000032238
Eef1a1	ENSMUSG00000037742
Zic1	ENSMUSG00000032368
Wdr6	ENSMUSG00000066357
Arpp21	ENSMUSG00000032503
Rpsa	ENSMUSG00000032518
Mobp	ENSMUSG00000032517
Cck	ENSMUSG00000032532
Nefh	ENSMUSG00000020396
Ramp3	ENSMUSG00000041046
Rps27a	ENSMUSG00000020460
Sparc	ENSMUSG00000018593
6330403K07Rik	ENSMUSG00000018451
Sept4	ENSMUSG00000020486
Hap1	ENSMUSG00000006930
Cnp	ENSMUSG00000006782
Gfap	ENSMUSG00000020932
Gaa	ENSMUSG00000025579
Mef2c	ENSMUSG00000005583
Enc1	ENSMUSG00000041773
Rgs7bp	ENSMUSG00000021719
Hpcal1	ENSMUSG00000071379
Ckb	ENSMUSG00000001270
Pacs2	ENSMUSG00000021143
Nov	ENSMUSG00000037362
Enpp2	ENSMUSG00000022425
Ndrg1	ENSMUSG00000005125
Arc	ENSMUSG00000022602
Ly6h	ENSMUSG00000022577
Nptxr	ENSMUSG00000022421
Desi1	ENSMUSG00000022472
Igfbp6	ENSMUSG00000023046
Apod	ENSMUSG00000022548
Gap43	ENSMUSG00000047261
Olig1	ENSMUSG00000046160
Pcp4	ENSMUSG00000090223
Qk	ENSMUSG00000062078
Baiap3	ENSMUSG00000047507
Mog	ENSMUSG00000076439
Gm42418	ENSMUSG00000098178
Tubb4a	ENSMUSG00000062591
Egr1	ENSMUSG00000038418
Camk2a	ENSMUSG00000024617
Mbp	ENSMUSG00000041607
Malat1	ENSMUSG00000092341
Fth1	ENSMUSG00000024661
Scd2	ENSMUSG00000025203
Tcf7l2	ENSMUSG00000024985
mt-Nd1	ENSMUSG00000064341
mt-Nd2	ENSMUSG00000064345
mt-Co1	ENSMUSG00000064351
mt-Co2	ENSMUSG00000064354
mt-Atp6	ENSMUSG00000064357
mt-Co3	ENSMUSG00000064358
mt-Nd4	ENSMUSG00000064363
mt-Cytb	ENSMUSG00000064370
Gabrd	ENSMUSG00000029054
Grb14	ENSMUSG00000026888
Uchl1	ENSMUSG00000029223
Bex2	ENSMUSG00000042750
Rps24	ENSMUSG00000025290
Gpr37	ENSMUSG00000039904
Hcn2	ENSMUSG00000020331
Slc17a7	ENSMUSG00000070570
Gpx3	ENSMUSG00000018339
Ncald	ENSMUSG00000051359
3300002A11Rik	ENSMUSG00000033731
Nefm	ENSMUSG00000022054
Pnmal2	ENSMUSG00000070802
Impact	ENSMUSG00000024423
Pvalb	ENSMUSG00000005716
Ndrg4	ENSMUSG00000036564
Ngef	ENSMUSG00000026259
Rpl21	ENSMUSG00000041453
Cpe	ENSMUSG00000037852
Kcnj10	ENSMUSG00000044708
Ncdn	ENSMUSG00000028833
Gng11	ENSMUSG00000032766
Ogfrl1	ENSMUSG00000026158
Slc30a3	ENSMUSG00000029151
Stmn4	ENSMUSG00000022044
Opalin	ENSMUSG00000050121
Ier5	ENSMUSG00000056708
mt-Nd3	ENSMUSG00000064360
Ptpn4	ENSMUSG00000026384
Arpp19	ENSMUSG00000007656
Chn1	ENSMUSG00000056486
Rab3c	ENSMUSG00000021700
Pnck	ENSMUSG00000002012
Rps3	ENSMUSG00000030744
Vps8	ENSMUSG00000033653
Rps8	ENSMUSG00000047675
Atp1a2	ENSMUSG00000007097
Aplp1	ENSMUSG00000006651
Cmtm5	ENSMUSG00000040759
Tmsb10	ENSMUSG00000079523
Rgs16	ENSMUSG00000026475
Egr3	ENSMUSG00000033730
Tmem63a	ENSMUSG00000026519
Elmo1	ENSMUSG00000041112
Lmo3	ENSMUSG00000030226
Cd81	ENSMUSG00000037706
Slc44a1	ENSMUSG00000028412
Pgrmc1	ENSMUSG00000006373
Vamp1	ENSMUSG00000030337
Ddn	ENSMUSG00000059213
Cartpt	ENSMUSG00000021647
Stx1a	ENSMUSG00000007207
Vat1l	ENSMUSG00000046844
Tsc22d4	ENSMUSG00000029723
Tac1	ENSMUSG00000061762
Itih3	ENSMUSG00000006522
Cnih2	ENSMUSG00000024873
Mt3	ENSMUSG00000031760
Slc24a2	ENSMUSG00000037996
Ppp1r1a	ENSMUSG00000022490
Fbxo36	ENSMUSG00000073633
Kcnip4	ENSMUSG00000029088
Calm2	ENSMUSG00000036438
Hpcal4	ENSMUSG00000046093
Wfs1	ENSMUSG00000039474
Tbr1	ENSMUSG00000035033
Kcnc2	ENSMUSG00000035681
Gphn	ENSMUSG00000047454
Rtn1	ENSMUSG00000021087
mt-Nd5	ENSMUSG00000064367
Cnot6	ENSMUSG00000020362
Atp2b2	ENSMUSG00000030302
AI593442	ENSMUSG00000078307
Gna12	ENSMUSG00000000149
Cpne6	ENSMUSG00000022212
Btaf1	ENSMUSG00000040565
Zmat4	ENSMUSG00000037492
Rps9	ENSMUSG00000006333
Synpr	ENSMUSG00000056296
Lmo4	ENSMUSG00000028266
Rnf13	ENSMUSG00000036503
Traf5	ENSMUSG00000026637
Stmn1	ENSMUSG00000028832
Josd2	ENSMUSG00000038695
Rprm	ENSMUSG00000075334
Dkkl1	ENSMUSG00000030792
